"observed_on","user_login","quality_grade","num_identification_agreements","num_identification_disagreements","captive_cultivated","place_guess","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"73","2015-11-15","allenratzlaff","research",2,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.577396,-97.580722,"Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Aves",7109
"74","2015-11-17","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.581663,-97.59637,"Horned Grebe","Podiceps auritus","Horned Grebe","Aves",4209
"75","2015-11-17","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.581663,-97.595576,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"76","2015-11-17","allenratzlaff","research",3,0,"false","Lake Hefner, Oklahoma City, Oklahoma",35.576323,-97.580019,"American Goldfinch","Spinus tristis","American Goldfinch","Aves",145310
"77","2014-06-14","ospreyeagle","research",2,0,"false","Oklahoma County, US-OK, US",35.6813,-97.170628,"Yellow-billed Cuckoo","Coccyzus americanus","Yellow-billed Cuckoo","Aves",1965
"78","2016-02-09","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.623527,-97.573319,"American Kestrel","Falco sparverius","American Kestrel","Aves",4665
"79","2016-01-27","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.551604,-97.581713,"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Aves",4364
"80","2016-01-09","jlzachary1","research",3,0,"false","",35.552934,-97.596772,"Pied-billed Grebe (Gr be bec bigarr )","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"81","2016-01-09","jlzachary1","research",3,0,"false","",35.554474,-97.596536,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"82","2016-01-09","jlzachary1","research",3,0,"false","",35.551157,-97.59953,"American Coot","Fulica americana","American Coot","Aves",473
"83","2016-01-09","jlzachary1","research",4,0,"false","",35.551533,-97.599294,"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Aves",4364
"84","2015-07-15","jlzachary1","research",3,0,"false","",35.606781,-97.513903,"Common Nighthawk","Chordeiles minor","Common Nighthawk","Aves",19577
"85","2015-06-27","jlzachary1","research",2,0,"false","",35.596191,-97.476367,"Red-winged Blackbird","Agelaius phoeniceus","Red-winged Blackbird","Aves",9744
"86","2015-06-20","jlzachary1","research",3,0,"false","",35.637989,-97.496908,"Great Egret","Ardea alba","Great Egret","Aves",144455
"87","2015-06-12","jlzachary1","research",2,0,"false","",35.604486,-97.520391,"Cliff Swallow","Petrochelidon pyrrhonota","Cliff Swallow","Aves",11858
"88","2015-06-02","jlzachary1","research",4,0,"false","",35.604628,-97.51935,"American Goldfinch","Spinus tristis","American Goldfinch","Aves",145310
"89","2016-02-13","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.611664,-97.565659,"Red-tailed Hawk","Buteo jamaicensis","Red-tailed Hawk","Aves",5212
"90","2016-02-14","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.57593,-97.581521,"Red-shouldered Hawk","Buteo lineatus","Red-shouldered Hawk","Aves",5206
"91","2016-02-14","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.579447,-97.605693,"Common Loon","Gavia immer","Common Loon","Aves",4626
"92","2016-02-14","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.551336,-97.596134,"Eared Grebe","Podiceps nigricollis","Eared Grebe","Aves",4205
"93","2016-02-14","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.544942,-97.595152,"Bufflehead","Bucephala albeola","Bufflehead","Aves",6993
"94","2016-02-14","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.54791,-97.590947,"Redhead","Aythya americana","Redhead","Aves",7056
"95","2016-02-14","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.547709,-97.591118,"Bufflehead","Bucephala albeola","Bufflehead","Aves",6993
"96","2016-02-14","jlzachary1","research",2,0,"false","",35.547709,-97.591118,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"97","2016-02-14","jlzachary1","research",3,0,"false","",35.552026,-97.581665,"American Coot","Fulica americana","American Coot","Aves",473
"98","2016-02-19","jlzachary1","research",2,0,"false","Lake Hefner",35.544355,-97.595917,"Bufflehead","Bucephala albeola","Bufflehead","Aves",6993
"99","2016-02-19","jlzachary1","research",2,0,"false","Lake Hefner",35.544546,-97.595756,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"100","2016-02-19","jlzachary1","research",2,0,"false","Lake Hefner",35.543558,-97.596357,"Ruddy Duck","Oxyura jamaicensis","Ruddy Duck","Aves",850859
"101","2016-02-19","jlzachary1","research",3,0,"false","Lake Hefner",35.547651,-97.590853,"Redhead","Aythya americana","Redhead","Aves",7056
"102","2016-02-19","jlzachary1","research",3,0,"false","Lake Hefner",35.547435,-97.590638,"Redhead","Aythya americana","Redhead","Aves",7056
"103","2016-02-19","jlzachary1","research",2,0,"false","Lake Hefner",35.54762,-97.590778,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"104","2016-02-20","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.596162,-97.476387,"Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Aves",7109
"105","2016-02-20","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.595573,-97.476344,"Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Aves",7109
"106","2016-02-20","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.595493,-97.476328,"Ring-necked Duck","Aythya collaris","Ring-necked Duck","Aves",7044
"107","2016-02-24","jlzachary1","research",3,0,"false","Lake Hefner",35.58292,-97.597132,"American Kestrel","Falco sparverius","American Kestrel","Aves",4665
"108","2016-02-24","jlzachary1","research",2,0,"false","Lake Hefner",35.57936,-97.603312,"Common Loon","Gavia immer","Common Loon","Aves",4626
"109","2016-02-24","jlzachary1","research",3,0,"false","Lake Hefner",35.575311,-97.610521,"Common Loon","Gavia immer","Common Loon","Aves",4626
"110","2016-02-24","jlzachary1","research",2,0,"false","Lake Hefner",35.568469,-97.614813,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"111","2016-02-24","jlzachary1","research",2,0,"false","Lake Hefner",35.568469,-97.614813,"Horned Grebe","Podiceps auritus","Horned Grebe","Aves",4209
"112","2016-02-24","jlzachary1","research",1,0,"false","Lake Hefner",35.549809,-97.592604,"Double-crested Cormorant","Nannopterum auritum","Double-crested Cormorant","Aves",1454382
"113","2016-02-24","jlzachary1","research",2,0,"false","Lake Hefner",35.547958,-97.591016,"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Aves",4246
"114","2016-03-01","jlzachary1","research",2,1,"false","Lake Hefner",35.544772,-97.595785,"Greater Scaup","Aythya marila","Greater Scaup","Aves",7047
"115","2016-03-01","jlzachary1","research",2,0,"false","Lake Hefner",35.543641,-97.594691,"American Robin","Turdus migratorius","American Robin","Aves",12727
"116","2016-03-01","jlzachary1","research",3,0,"false","Lake Hefner",35.544348,-97.595571,"Eurasian Collared-Dove","Streptopelia decaocto","Eurasian Collared-Dove","Aves",2969
"117","2016-03-01","jlzachary1","research",3,0,"false","Lake Hefner",35.5442,-97.595978,"Bufflehead","Bucephala albeola","Bufflehead","Aves",6993
"118","2016-03-01","jlzachary1","research",2,0,"false","Lake Hefner",35.544165,-97.595935,"Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Aves",7109
"119","2016-03-11","jlzachary1","research",2,0,"false","Lake Hefner",35.544129,-97.595917,"Ruddy Duck","Oxyura jamaicensis","Ruddy Duck","Aves",850859
"120","2016-03-11","jlzachary1","research",3,0,"false","Lake Hefner",35.544398,-97.595895,"Redhead","Aythya americana","Redhead","Aves",7056
"121","2016-03-11","jlzachary1","research",2,0,"false","Lake Hefner",35.545145,-97.594608,"Bonaparte's Gull","Chroicocephalus philadelphia","Bonaparte's Gull","Aves",144502
"122","2016-03-11","jlzachary1","research",2,0,"false","Lake Hefner",35.543761,-97.594848,"American Robin","Turdus migratorius","American Robin","Aves",12727
"123","2016-03-11","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.612258,-97.58157,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Aves",558438
"124","2016-03-11","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.61283,-97.581988,"Lesser Scaup","Aythya affinis","Lesser Scaup","Aves",7054
"125","2016-03-12","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.665571,-97.514599,"Cedar Waxwing","Bombycilla cedrorum","Cedar Waxwing","Aves",7428
"126","2016-03-14","jlzachary1","research",4,0,"false","Lake Hefner",35.578534,-97.581482,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Aves",558438
"127","2016-03-14","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.612734,-97.581978,"Bufflehead","Bucephala albeola","Bufflehead","Aves",6993
"128","2016-03-16","jlzachary1","research",4,0,"false","Lake Hefner",35.546334,-97.593205,"Mourning Dove","Zenaida macroura","Mourning Dove","Aves",3454
"129","2016-03-16","jlzachary1","research",3,0,"false","Lake Hefner",35.546003,-97.589557,"Great Egret","Ardea alba","Great Egret","Aves",144455
"130","2016-03-21","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.613303,-97.580886,"Gadwall","Mareca strepera","Gadwall","Aves",558439
"131","2016-03-21","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.613303,-97.580886,"Bufflehead","Bucephala albeola","Bufflehead","Aves",6993
"132","2016-03-21","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.613303,-97.580886,"American Coot","Fulica americana","American Coot","Aves",473
"133","2016-03-21","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.60741,-97.608947,"Eastern Phoebe","Sayornis phoebe","Eastern Phoebe","Aves",17008
"134","2016-03-22","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.607662,-97.609298,"Cedar Waxwing","Bombycilla cedrorum","Cedar Waxwing","Aves",7428
"135","2016-03-22","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.612598,-97.581403,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Aves",558438
"136","2016-03-23","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.621756,-97.578555,"Great Egret","Ardea alba","Great Egret","Aves",144455
"137","2016-03-25","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.549163,-97.601284,"Great Egret","Ardea alba","Great Egret","Aves",144455
"138","2016-03-25","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.546291,-97.595147," ","Dryobates pubescens","Downy Woodpecker","Aves",792988
"139","2016-03-25","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.544373,-97.595311,"Great Egret","Ardea alba","Great Egret","Aves",144455
"140","2016-03-25","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.544429,-97.595836,"Double-crested Cormorant","Nannopterum auritum","Double-crested Cormorant","Aves",1454382
"141","2016-03-25","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.543669,-97.596196,"Redhead","Aythya americana","Redhead","Aves",7056
"142","2016-03-25","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.544713,-97.595402,"Ruddy Duck","Oxyura jamaicensis","Ruddy Duck","Aves",850859
"143","2016-03-25","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.544966,-97.595101,"Gadwall","Mareca strepera","Gadwall","Aves",558439
"144","2016-03-28","jlzachary1","research",2,0,"false","Oklahoma County, US-OK, US",35.548339,-97.600888,"Great Egret","Ardea alba","Great Egret","Aves",144455
"145","2016-03-28","jlzachary1","research",4,0,"false","Oklahoma County, US-OK, US",35.544737,-97.595595,"Redhead","Aythya americana","Redhead","Aves",7056
"146","2016-04-02","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.642963,-97.49756,"Northern Mockingbird","Mimus polyglottos","Northern Mockingbird","Aves",14886
"147","2016-04-02","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.642963,-97.49756,"Cedar Waxwing","Bombycilla cedrorum","Cedar Waxwing","Aves",7428
"148","2016-04-02","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.642963,-97.49756,"European Starling","Sturnus vulgaris","European Starling","Aves",14850
"149","2016-04-02","jlzachary1","research",3,0,"false","Oklahoma County, US-OK, US",35.642899,-97.497828,"Northern Mockingbird","Mimus polyglottos","Northern Mockingbird","Aves",14886
